Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Su, Jiahong; Yang, Weipeng; ",Unlocking the power of ChatGPT: A framework for applying generative AI in education,ECNU Review of Education,6,3,355-366,2023,"SAGE Publications Sage UK: London, England"
"Sheese, Brad; Liffiton, Mark; Savelka, Jaromir; Denny, Paul; ",Patterns of student help-seeking when using a large language model-powered programming assistant,Proceedings of the 26th Australasian computing education conference,,,49-57,2024,
"Perkins, Mike; Roe, Jasper; ",The use of Generative AI in qualitative analysis: Inductive thematic analysis with ChatGPT,Journal of Applied Learning and Teaching,7,1,,2024,
"Akyash, Mohammad; Mardani Kamali, Hadi; ",SimEval: Investigating the Similarity Obstacle in LLM-based Hardware Code Generation,Proceedings of the 30th Asia and South Pacific Design Automation Conference,,,1002-1007,2025,
"Chen, Binglin; Lewis, Colleen M; West, Matthew; Zilles, Craig; ",Plagiarism in the age of generative ai: cheating method change and learning loss in an intro to CS course,Proceedings of the Eleventh ACM Conference on Learning@ Scale,,,75-85,2024,
"Choi, Hyunjun; Moran, Jay; Matsumoto, Nicholas; Hernandez, Miguel E; Moore, Jason H; ",Aliro: an automated machine learning tool leveraging large language models,Bioinformatics,39,10,btad606,2023,Oxford University Press
"Esmradi, Aysan; Yip, Daniel Wankit; Chan, Chun Fai; ","A comprehensive survey of attack techniques, implementation, and mitigation strategies in large language models",International Conference on Ubiquitous Security,,,76-95,2023,Springer
"Park, Noseong; Mohammadi, Mahmoud; Gorde, Kshitij; Jajodia, Sushil; Park, Hongkyu; Kim, Youngmin; ",Data synthesis based on generative adversarial networks,arXiv preprint arXiv:1806.03384,,,,2018,
"Candelon, François; Gupta, Abhishek; Krayer, Lisa; Zhukov, Leonid; ",The CEO’s guide to the generative AI revolution,BCG Global,7,,,2023,
"Albanese, Federico; Ciolek, Daniel; D'Ippolito, Nicolas; ",Text sanitization beyond specific domains: Zero-shot redaction & substitution with large language models,arXiv preprint arXiv:2311.10785,,,,2023,
"Wang, Tao; Zhang, Yushu; Qi, Shuren; Zhao, Ruoyu; Xia, Zhihua; Weng, Jian; ",Security and privacy on generative data in aigc: A survey,ACM Computing Surveys,57,4,1-34,2024,"ACM New York, NY"
